CART_Dose,Tumor_Init,responses
100000,800000,CR
120000,800000,CR
140000,800000,CR
160000,800000,CR
180000,800000,CR
200000,800000,CR
220000,800000,CR
240000,800000,CR
260000,800000,CR
280000,800000,CR
300000,800000,CR
320000,800000,CR
340000,800000,CR
360000,800000,CR
380000,800000,CR
400000,800000,CR
420000,800000,CR
440000,800000,CR
460000,800000,CR
480000,800000,CR
500000,800000,CR
520000,800000,CR
540000,800000,CR
560000,800000,CR
580000,800000,CR
600000,800000,CR
620000,800000,CR
640000,800000,CR
660000,800000,CR
680000,800000,CR
700000,800000,CR
720000,800000,CR
740000,800000,CR
760000,800000,CR
780000,800000,CR
800000,800000,CR
820000,800000,CR
840000,800000,CR
860000,800000,CR
880000,800000,CR
900000,800000,CR
920000,800000,CR
940000,800000,CR
960000,800000,CR
980000,800000,CR
1000000,800000,CR
1020000,800000,CR
1040000,800000,CR
1060000,800000,CR
1080000,800000,CR
1100000,800000,CR
1120000,800000,CR
1140000,800000,CR
1160000,800000,CR
1180000,800000,CR
1200000,800000,CR
1220000,800000,CR
1240000,800000,CR
1260000,800000,CR
1280000,800000,CR
1300000,800000,CR
1320000,800000,CR
1340000,800000,CR
1360000,800000,CR
1380000,800000,CR
1400000,800000,CR
1420000,800000,CR
1440000,800000,CR
1460000,800000,CR
1480000,800000,CR
1500000,800000,CR
1520000,800000,CR
1540000,800000,CR
1560000,800000,CR
1580000,800000,CR
1600000,800000,CR
1620000,800000,CR
1640000,800000,CR
1660000,800000,CR
1680000,800000,CR
1700000,800000,CR
1720000,800000,CR
1740000,800000,CR
1760000,800000,CR
1780000,800000,CR
1800000,800000,CR
1820000,800000,CR
1840000,800000,CR
1860000,800000,CR
1880000,800000,CR
1900000,800000,CR
1920000,800000,CR
1940000,800000,CR
1960000,800000,CR
1980000,800000,CR
2000000,800000,CR
100000,900000,NR
120000,900000,CR
140000,900000,CR
160000,900000,CR
180000,900000,CR
200000,900000,CR
220000,900000,CR
240000,900000,CR
260000,900000,CR
280000,900000,CR
300000,900000,CR
320000,900000,CR
340000,900000,CR
360000,900000,CR
380000,900000,CR
400000,900000,CR
420000,900000,CR
440000,900000,CR
460000,900000,CR
480000,900000,CR
500000,900000,CR
520000,900000,CR
540000,900000,CR
560000,900000,CR
580000,900000,CR
600000,900000,CR
620000,900000,CR
640000,900000,CR
660000,900000,CR
680000,900000,CR
700000,900000,CR
720000,900000,CR
740000,900000,CR
760000,900000,CR
780000,900000,CR
800000,900000,CR
820000,900000,CR
840000,900000,CR
860000,900000,CR
880000,900000,CR
900000,900000,CR
920000,900000,CR
940000,900000,CR
960000,900000,CR
980000,900000,CR
1000000,900000,CR
1020000,900000,CR
1040000,900000,CR
1060000,900000,CR
1080000,900000,CR
1100000,900000,CR
1120000,900000,CR
1140000,900000,CR
1160000,900000,CR
1180000,900000,CR
1200000,900000,CR
1220000,900000,CR
1240000,900000,CR
1260000,900000,CR
1280000,900000,CR
1300000,900000,CR
1320000,900000,CR
1340000,900000,CR
1360000,900000,CR
1380000,900000,CR
1400000,900000,CR
1420000,900000,CR
1440000,900000,CR
1460000,900000,CR
1480000,900000,CR
1500000,900000,CR
1520000,900000,CR
1540000,900000,CR
1560000,900000,CR
1580000,900000,CR
1600000,900000,CR
1620000,900000,CR
