phi,rho,eps,theta,alpha,mu,r,b,gamma,CM55,CM75,Response
0.41836,0.56906,0.23757,8.4528e-06,5.4471e-08,0.0033255,0.088442,1.6084e-12,1.8601e-06,31150.0261,498135.9198,CR
0.33001,0.39677,0.17378,2.7329e-06,6.0247e-08,0.0021813,0.083046,1.0323e-12,1.8518e-06,675802.5517,1367489.1844,CR
0.28721,0.3577,0.098211,5.343e-06,5.5446e-08,0.0061924,0.080884,1.848e-12,1.5598e-06,102374.1149,402138.7509,CR
0.28322,0.36957,0.205,9.3081e-06,4.6703e-08,0.0046033,0.087802,1.9601e-12,1.7589e-06,829568.9748,1577685.219,CR
0.17505,0.31599,0.16315,3.477e-06,6.8562e-08,0.0030805,0.080309,1.2363e-12,1.5885e-06,19.9787,-1.1997e-11,NR
0.30946,0.32029,0.090808,8.1442e-06,6.6768e-08,0.00738,0.0839,1.1321e-12,2.1374e-06,362649.8706,1121261.2719,CR
0.18267,0.20285,0.062983,7.9676e-06,5.9055e-08,0.0020035,0.088364,1.3084e-12,1.6305e-06,2.9109e-07,-4.3537e-15,NR
0.31783,0.41195,0.10815,4.8354e-06,5.7372e-08,0.0038035,0.082856,1.7808e-12,1.698e-06,33501.1021,194857.1631,CR
0.2451,0.30309,0.15022,4.7503e-06,5.9808e-08,0.0059743,0.087111,1.0191e-12,1.9703e-06,127930.1235,670993.1158,CR
0.18235,0.20939,0.18343,3.308e-06,6.9777e-08,0.0026069,0.085815,1.4384e-12,2.4247e-06,1077090.7171,2523464.6735,CR
0.42038,0.50669,0.21433,8.9506e-06,5.8847e-08,0.004266,0.088076,1.2522e-12,1.6111e-06,0.00017459,-8.4707e-14,NR
0.3395,0.50381,0.18875,7.1706e-06,6.0419e-08,0.0029337,0.089117,1.6901e-12,1.9703e-06,0.12532,6.7997e-14,NR
0.39259,0.46904,0.1352,9.5804e-06,5.505e-08,0.0034915,0.088046,1.2645e-12,1.5082e-06,9.026e-06,1.6933e-14,NR
0.25955,0.37331,0.1937,4.8716e-06,6.5623e-08,0.0033278,0.079933,1.8502e-12,1.6583e-06,235053.7914,713941.203,CR
0.41635,0.46011,0.14211,2.5193e-06,7.1447e-08,0.0037386,0.088407,1.3418e-12,2.4252e-06,83466.0903,511996.2097,CR
0.28945,0.35824,0.074211,9.1864e-06,6.6738e-08,0.0078721,0.087148,1.5028e-12,1.6487e-06,2.8957e-11,-9.0858e-17,NR
0.14126,0.21555,0.076014,7.594e-06,6.4554e-08,0.0056633,0.082597,1.0421e-12,1.8983e-06,19795.3512,128236.0464,CR
0.26616,0.31081,0.10526,3.8119e-06,5.8073e-08,0.0067866,0.089477,1.903e-12,1.908e-06,0.66905,-1.3442e-13,NR
0.25131,0.25411,0.11116,7.4029e-06,6.8122e-08,0.0025029,0.082719,2.026e-12,1.864e-06,173058.1212,1153552.0876,CR
0.38352,0.48393,0.21453,3.3673e-06,4.6323e-08,0.0077586,0.089612,1.1847e-12,1.8184e-06,626109.1564,1104697.8697,CR
0.12748,0.15652,0.066259,5.0206e-06,6.3852e-08,0.0060911,0.083944,1.7683e-12,2.1985e-06,280747.4592,672394.4133,CR
0.34702,0.49314,0.18073,5.7946e-06,5.9763e-08,0.0064222,0.08777,1.099e-12,2.3612e-06,415223.2076,551811.7824,CR
0.27936,0.39362,0.14252,9.0662e-06,6.5238e-08,0.0074212,0.081843,9.9883e-13,1.4923e-06,0.016134,4.3502e-14,NR
0.18305,0.31372,0.21377,8.5911e-06,5.7983e-08,0.0052894,0.079994,1.4592e-12,1.627e-06,663521.3347,1063847.6719,CR
0.10894,0.12848,0.20989,7.2012e-06,7.0412e-08,0.006443,0.084157,1.7855e-12,1.6233e-06,0.0077691,-2.4079e-13,NR
0.16828,0.26451,0.12761,3.7513e-06,3.9679e-08,0.0034646,0.086351,1.8403e-12,1.6046e-06,459348.4114,802200.2527,CR
0.41045,0.4562,0.10552,8.0145e-06,6.5843e-08,0.0052189,0.089353,1.5902e-12,2.8567e-06,500382.8634,981545.049,CR
0.24124,0.29131,0.18817,4.4161e-06,6.9457e-08,0.0053835,0.083899,7.4929e-13,1.8476e-06,19344.3959,727021.773,CR
0.41302,0.51282,0.20435,8.2745e-06,6.1487e-08,0.0025373,0.089283,1.8601e-12,1.5213e-06,-4.1074e-12,-1.0286e-16,NR
0.16766,0.22634,0.11806,8.8394e-06,6.3665e-08,0.0058758,0.085163,1.408e-12,2.2503e-06,443389.2686,885089.9701,CR
0.36124,0.43802,0.19113,3.7102e-06,7.1227e-08,0.0027882,0.090132,1.0899e-12,1.5498e-06,8.097e-14,2.0794e-15,NR
0.14402,0.19952,0.074616,7.4849e-06,7.0317e-08,0.0068042,0.087685,1.0097e-12,2.2597e-06,4.7202,-8.309e-12,NR
0.15188,0.33376,0.23752,9.0968e-06,6.9381e-08,0.0041281,0.08994,9.4749e-13,2.6444e-06,141697.3719,354340.0068,CR
0.33758,0.42746,0.17605,7.6807e-06,6.0648e-08,0.0043099,0.086271,1.8533e-12,1.68e-06,0.22493,-2.0703e-13,NR
0.37308,0.45161,0.12387,7.4907e-06,5.9701e-08,0.0063641,0.08659,1.999e-12,1.9657e-06,24277.8268,278448.8319,CR
0.33514,0.34422,0.14995,2.6542e-06,6.6919e-08,0.0076237,0.085857,1.5666e-12,1.6632e-06,0.00054159,3.9005e-14,NR
0.1129,0.12613,0.22558,4.2916e-06,7.0249e-08,0.004706,0.086386,7.9728e-13,1.9436e-06,2368.0833,773313.6948,CR
0.29221,0.38047,0.090779,8.9942e-06,6.0139e-08,0.0033213,0.088095,1.8309e-12,1.7088e-06,2.0214e-06,-2.3555e-14,NR
0.17345,0.26346,0.14922,5.6329e-06,5.608e-08,0.0030474,0.087979,9.958e-13,1.57e-06,0.00012406,1.0544e-14,NR
0.39235,0.50088,0.22933,6.8492e-06,6.9112e-08,0.0064778,0.082873,1.7194e-12,1.871e-06,243503.597,861025.1678,CR
0.40366,0.51106,0.22322,4.4e-06,5.3977e-08,0.0048751,0.088635,1.2889e-12,1.5282e-06,0.0012495,-1.0221e-13,NR
0.38588,0.44467,0.090831,5.2804e-06,6.3877e-08,0.0049931,0.088039,9.285e-13,2.6077e-06,341100.2674,635451.0561,CR
0.15349,0.30298,0.18112,5.3548e-06,6.5315e-08,0.00654,0.089445,6.1912e-13,2.2583e-06,28.3915,5.4687e-10,NR
0.17861,0.28682,0.13159,5.2428e-06,6.2551e-08,0.0057003,0.086618,1.742e-12,2.2671e-06,226198.1634,413418.3757,CR
0.39987,0.456,0.067753,8.8305e-06,3.9946e-08,0.0053853,0.089259,7.1398e-13,1.6667e-06,81906.0635,336690.7007,CR
0.32879,0.38852,0.063513,9.0925e-06,7.1426e-08,0.0030776,0.087725,9.7318e-13,2.0372e-06,1.1395e-06,2.0484e-15,NR
0.22615,0.28775,0.17595,5.0039e-06,6.8768e-08,0.0073475,0.086092,1.6775e-12,2.2537e-06,461158.8278,1029015.6976,CR
0.39469,0.53626,0.16075,8.6825e-06,6.1655e-08,0.0058222,0.085377,6.293e-13,1.5502e-06,2.7074e-05,-6.9201e-14,NR
0.39382,0.39694,0.23237,4.1124e-06,4.6092e-08,0.00699,0.088624,1.1499e-12,1.6272e-06,1645614.3099,5397934.4209,CR
0.1762,0.27488,0.11852,5.7632e-06,5.0325e-08,0.0078673,0.089967,6.9609e-13,1.5919e-06,0.00033668,-3.4404e-14,NR
0.12519,0.31799,0.21667,6.6544e-06,6.4908e-08,0.0047195,0.089905,1.3457e-12,2.9508e-06,535701.3781,587541.8446,CR
0.36349,0.44305,0.089822,6.491e-06,5.7342e-08,0.0058495,0.088422,2.0114e-12,2.1063e-06,17422.2842,130091.6291,CR
0.11492,0.14366,0.10296,4.8245e-06,5.7798e-08,0.0074416,0.084853,9.7754e-13,1.7593e-06,73489.0822,569363.4842,CR
0.30801,0.33638,0.13851,7.0089e-06,6.5072e-08,0.0032532,0.081248,7.3974e-13,1.7483e-06,409937.5655,1440928.6837,CR
0.18529,0.35765,0.17997,9.4562e-06,4.0297e-08,0.0027304,0.089207,6.7921e-13,1.6682e-06,125748.2283,342387.9841,CR
0.42197,0.44063,0.085428,4.686e-06,7.1679e-08,0.0030415,0.0822,2.0782e-12,2.1883e-06,365145.9771,1011459.8474,CR
0.32043,0.38002,0.098558,2.8718e-06,5.4292e-08,0.0043355,0.087552,7.6264e-13,1.9813e-06,155195.4542,449682.97,CR
0.27737,0.34416,0.15949,8.825e-06,6.7779e-08,0.0042439,0.084952,1.1857e-12,2.0277e-06,105895.2807,676018.9262,CR
0.36533,0.43903,0.21923,4.97e-06,6.499e-08,0.007254,0.0853,1.1588e-12,2.0018e-06,588531.6521,1307931.3875,CR
0.23728,0.31046,0.11718,4.6274e-06,6.8706e-08,0.0033096,0.07971,2.0887e-12,1.7355e-06,72296.9873,383915.9423,CR
0.2527,0.34417,0.11674,3.1943e-06,6.584e-08,0.0066085,0.084124,1.4605e-12,1.8184e-06,37.067,6.5487e-09,NR
0.39344,0.44059,0.06128,5.255e-06,6.8367e-08,0.0076377,0.085982,1.2152e-12,1.8825e-06,0.0011268,-1.0774e-13,NR
0.36536,0.47368,0.16194,6.5059e-06,7.1984e-08,0.0022934,0.08962,6.5515e-13,1.9183e-06,-1.6944e-13,-5.6361e-16,NR
0.3814,0.42192,0.09804,3.682e-06,5.9746e-08,0.0063726,0.084668,8.5888e-13,1.5098e-06,0.013541,-8.3739e-14,NR
0.13986,0.14607,0.10153,3.9153e-06,5.8887e-08,0.0032079,0.087595,1.8558e-12,2.2104e-06,489782.9929,1509720.0949,CR
0.17912,0.2558,0.12286,6.9193e-06,6.1939e-08,0.0042187,0.08106,1.372e-12,1.9199e-06,470467.4339,862665.8984,CR
0.15457,0.39085,0.23993,4.4874e-06,5.0234e-08,0.0028216,0.088703,2.099e-12,1.7471e-06,168.6617,4.7425e-05,NR
0.31424,0.41678,0.14898,5.1784e-06,6.2745e-08,0.0041366,0.087282,8.5192e-13,1.8677e-06,0.21086,2.2931e-13,NR
0.34324,0.40796,0.13296,3.292e-06,7.1063e-08,0.0046689,0.084214,1.8471e-12,2.2349e-06,314640.3519,688496.5553,CR
0.2695,0.37048,0.16628,5.1182e-06,6.9403e-08,0.0039742,0.085811,1.0806e-12,2.4929e-06,533983.062,818590.9075,CR
0.19165,0.20211,0.073227,2.9698e-06,5.4652e-08,0.0040249,0.086023,1.6221e-12,1.955e-06,297697.2685,922471.7981,CR
0.31682,0.36863,0.15354,5.6143e-06,6.9577e-08,0.0053886,0.088517,1.6775e-12,2.3181e-06,11547.5853,393990.0139,CR
0.18603,0.30659,0.14621,5.3223e-06,5.927e-08,0.0035577,0.082626,9.2418e-13,1.9707e-06,420220.4613,641696.4758,CR
0.39715,0.41576,0.12239,6.4998e-06,5.156e-08,0.0022359,0.087587,1.4699e-12,1.8903e-06,505717.7915,1626598.7043,CR
0.27985,0.30988,0.17104,6.9195e-06,6.3551e-08,0.0041866,0.085935,1.4609e-12,2.1396e-06,811521.1687,2081298.2526,CR
0.41857,0.56732,0.22461,4.5748e-06,6.606e-08,0.006998,0.085582,9.3472e-13,2.2615e-06,509239.7174,687677.3632,CR
0.27845,0.37302,0.13738,6.4448e-06,5.3945e-08,0.0048332,0.08456,2.1558e-12,1.5193e-06,75.7692,2.5623e-05,NR
0.2681,0.36242,0.12221,7.7568e-06,6.5805e-08,0.0052035,0.085026,2.0346e-12,1.6343e-06,2.3729e-05,9.3847e-15,NR
0.12601,0.16404,0.11913,2.8639e-06,7.1174e-08,0.0022794,0.08662,2.2327e-12,1.8652e-06,2.0196e-05,-2.0918e-14,NR
0.25777,0.34867,0.099535,5.8797e-06,6.3758e-08,0.0041005,0.078842,1.8973e-12,1.6457e-06,62123.3345,252852.5091,CR
0.31786,0.34086,0.15081,4.9169e-06,6.8744e-08,0.0070101,0.086597,9.7443e-13,2.0045e-06,200.6748,0.0026384,NR
0.36217,0.43902,0.14591,2.4692e-06,6.8429e-08,0.007627,0.086822,1.5808e-12,2.5502e-06,503769.3203,796289.9296,CR
0.26051,0.38646,0.12888,2.9984e-06,4.1644e-08,0.0067422,0.089265,1.5943e-12,1.9632e-06,417317.1306,553952.7416,CR
0.21986,0.23657,0.075859,6.4935e-06,6.7133e-08,0.0058276,0.084352,2.221e-12,2.1006e-06,150236.3286,596030.8608,CR
0.37742,0.3778,0.063143,3.6065e-06,4.8517e-08,0.004124,0.087188,8.1787e-13,1.918e-06,351678.1575,1128517.0701,CR
0.21573,0.24123,0.10139,8.9288e-06,6.4566e-08,0.003514,0.084111,1.4213e-12,1.7176e-06,12.6587,1.2404e-09,NR
0.29954,0.3154,0.20747,8.8425e-06,7.126e-08,0.0063263,0.089859,1.1546e-12,2.5445e-06,630231.932,2191743.1851,CR
0.42079,0.4867,0.15153,4.1101e-06,7.081e-08,0.0069986,0.087986,1.1002e-12,1.6252e-06,1.5596e-12,1.1439e-15,NR
0.21835,0.32936,0.22478,6.5239e-06,5.2624e-08,0.0055115,0.088651,1.5618e-12,2.0919e-06,846115.5459,1264167.0244,CR
0.33832,0.4956,0.18345,9.2639e-06,6.796e-08,0.0043182,0.080135,1.2386e-12,1.5743e-06,19.157,4.3707e-09,NR
0.23537,0.27377,0.14288,9.3581e-06,5.7707e-08,0.0029272,0.082436,1.4736e-12,1.7273e-06,603304.4901,1660933.5723,CR
0.33092,0.53277,0.21397,5.6369e-06,6.6918e-08,0.0051254,0.090381,1.5391e-12,3.1486e-06,519883.6127,548013.8059,CR
0.27915,0.39827,0.11985,3.558e-06,5.6333e-08,0.0050953,0.089877,8.2742e-13,1.5455e-06,6.406e-11,-1.1408e-15,NR
0.38518,0.42154,0.13252,4.4349e-06,6.8801e-08,0.0069317,0.085776,1.2081e-12,2.236e-06,330139.8415,925538.621,CR
0.30389,0.42598,0.19429,3.4123e-06,7.0601e-08,0.0079386,0.085229,1.9535e-12,1.717e-06,1.4325e-05,-4.9168e-14,NR
0.40045,0.45963,0.073545,5.0809e-06,5.0484e-08,0.0067349,0.083962,6.4548e-13,1.6631e-06,99730.2757,337348.6708,CR
0.323,0.39493,0.12396,9.511e-06,7.1953e-08,0.0074323,0.08634,1.8841e-12,2.0567e-06,0.07821,-3.6299e-13,NR
0.24971,0.263,0.20294,4.3832e-06,6.3534e-08,0.0028517,0.0878,1.2412e-12,1.4891e-06,9.602e-10,-3.511e-14,NR
0.37338,0.50557,0.14133,7.8262e-06,6.963e-08,0.0029109,0.074537,2.1833e-12,1.7352e-06,414490.9847,623294.7923,CR
0.21526,0.25551,0.068905,9.1505e-06,6.1259e-08,0.0040418,0.08583,8.0679e-13,1.8633e-06,71.3159,0.0086875,NR
0.40411,0.43318,0.094579,5.0199e-06,6.0135e-08,0.0046248,0.08961,1.5758e-12,2.47e-06,347668.7553,874477.7996,CR
0.19502,0.35401,0.17626,7.2818e-06,6.9913e-08,0.0034658,0.088477,7.8687e-13,2.1562e-06,0.0013946,-1.15e-13,NR
0.41376,0.52232,0.16423,7.4844e-06,5.1237e-08,0.0030845,0.087309,2.1618e-12,1.9436e-06,420799.8929,775237.5031,CR
0.41109,0.41975,0.082898,6.1576e-06,6.3487e-08,0.0063595,0.083751,1.8513e-12,1.503e-06,0.0016356,6.5665e-15,NR
0.20606,0.30598,0.20008,3.1951e-06,4.6295e-08,0.0040028,0.087662,1.501e-12,1.6507e-06,449751.6563,1016764.1409,CR
0.11325,0.27963,0.23533,7.8735e-06,6.7789e-08,0.0029007,0.083232,1.7519e-12,1.8965e-06,50888.6066,407767.1348,CR
0.41373,0.4833,0.075094,9.2353e-06,6.8968e-08,0.0046699,0.077445,1.7983e-12,1.7615e-06,119004.166,339454.0261,CR
0.31447,0.39152,0.097302,3.8593e-06,5.1011e-08,0.0041336,0.08561,1.2038e-12,1.6556e-06,14054.9725,131102.6581,CR
0.24328,0.33072,0.092364,2.7382e-06,7.1188e-08,0.0065707,0.088718,1.1154e-12,2.4084e-06,13.2972,-2.0581e-12,NR
0.16538,0.2494,0.14198,6.3356e-06,6.8722e-08,0.0034415,0.08349,1.5747e-12,2.1276e-06,306928.2569,662777.4561,CR
0.34258,0.45739,0.13984,6.008e-06,6.6605e-08,0.0056724,0.07758,2.2354e-12,1.7175e-06,282288.0973,524979.5909,CR
0.12907,0.20537,0.11112,7.4287e-06,7.1139e-08,0.0076505,0.07631,2.2119e-12,1.5084e-06,5301.652,91844.6628,CR
0.13045,0.18667,0.19759,4.3324e-06,6.3845e-08,0.0049849,0.088001,2.1445e-12,2.3658e-06,848442.5459,1660763.2939,CR
0.21044,0.32913,0.16838,9.1593e-06,4.664e-08,0.0040829,0.085289,2.1338e-12,1.6865e-06,461571.2337,825857.5768,CR
0.17482,0.24383,0.080083,3.3031e-06,6.8609e-08,0.0053526,0.084865,1.4042e-12,1.861e-06,0.076504,-7.3566e-14,NR
0.11185,0.15305,0.16371,3.1835e-06,6.9572e-08,0.0032261,0.090177,1.3792e-12,1.6271e-06,-9.8479e-14,-4.6179e-15,NR
0.16802,0.32502,0.23683,3.9804e-06,6.5346e-08,0.0075373,0.086068,1.7003e-12,1.7691e-06,0.05207,2.6227e-13,NR
0.31032,0.35311,0.074108,8.5162e-06,6.4527e-08,0.0022503,0.085462,9.299e-13,2.2023e-06,148764.0403,457254.7596,CR
0.29344,0.29448,0.16355,2.6991e-06,7.0458e-08,0.0041071,0.08565,1.182e-12,1.7906e-06,0.035376,-3.9987e-13,NR
0.20046,0.22751,0.069542,6.3428e-06,5.1968e-08,0.0061154,0.088375,1.8904e-12,1.9892e-06,140170.7016,506391.0451,CR
0.21286,0.36721,0.1547,8.2856e-06,6.7523e-08,0.0049761,0.090319,6.4391e-13,2.9639e-06,287313.6648,371993.8117,CR
0.13178,0.22593,0.22244,4.7634e-06,6.2678e-08,0.0055701,0.089147,5.7245e-13,1.6845e-06,3.4887e-08,1.036e-14,NR
0.23342,0.38074,0.2175,9.5694e-06,7.0559e-08,0.0054018,0.086546,1.6102e-12,1.6906e-06,7.9966e-10,-3.3776e-15,NR
0.11215,0.18764,0.10392,3.9705e-06,5.135e-08,0.0026784,0.083392,1.6373e-12,1.6197e-06,142142.4531,456839.8301,CR
0.25265,0.27344,0.064323,9.4283e-06,6.4389e-08,0.0054574,0.081725,2.0494e-12,1.5553e-06,2.2012,-2.4199e-12,NR
0.21402,0.24317,0.16863,6.2269e-06,7.0008e-08,0.0029704,0.084729,6.1483e-13,1.5329e-06,1.2142e-07,2.9432e-15,NR
0.13256,0.20679,0.17691,6.4838e-06,7.1617e-08,0.0038512,0.077356,1.5878e-12,1.5558e-06,162982.7822,910764.7666,CR
0.17199,0.23801,0.16686,8.4888e-06,4.2081e-08,0.0048257,0.089664,1.4343e-12,1.75e-06,694455.2041,1489913.327,CR
0.12721,0.3322,0.23328,5.5134e-06,5.005e-08,0.0054481,0.089622,2.1177e-12,2.2816e-06,569347.8902,630352.6276,CR
0.2035,0.25694,0.22165,7.864e-06,6.6284e-08,0.0021269,0.083762,1.5741e-12,1.6613e-06,469.8247,24.2308,NR
0.1396,0.18897,0.13906,8.392e-06,6.1943e-08,0.0076717,0.082635,1.2747e-12,1.5143e-06,11.0692,1.2659e-11,NR
0.2815,0.33368,0.11198,5.762e-06,6.719e-08,0.003855,0.084374,1.4893e-12,1.8624e-06,113.273,0.00066462,NR
0.24049,0.4365,0.23884,6.1e-06,6.3912e-08,0.0061058,0.0835,1.917e-12,1.7284e-06,222.4696,0.0012025,NR
0.25496,0.25812,0.12339,9.0576e-06,7.1589e-08,0.0060176,0.089434,6.3767e-13,2.3746e-06,58.9218,4.1309e-05,NR
0.28138,0.38449,0.10974,8.6343e-06,4.9126e-08,0.0054298,0.086895,1.424e-12,1.8932e-06,187524.9856,398742.5072,CR
0.18076,0.19761,0.16551,7.746e-06,4.8799e-08,0.0057509,0.089296,7.4287e-13,1.9477e-06,1014100.1676,2824193.3104,CR
0.40342,0.42945,0.11977,6.77e-06,7.1516e-08,0.0065697,0.088802,1.6765e-12,2.8573e-06,553505.2445,1283937.1813,CR
0.22793,0.32081,0.10264,7.149e-06,5.8053e-08,0.0058386,0.088385,6.4955e-13,2.4554e-06,308939.8879,489444.0422,CR
0.11817,0.29688,0.19761,5.463e-06,6.2214e-08,0.0043896,0.077037,8.4127e-13,1.5397e-06,213313.7285,418452.2046,CR
0.22475,0.22676,0.10502,4.1411e-06,5.3322e-08,0.0072103,0.087522,7.4163e-13,2.0204e-06,566995.7904,1760172.2446,CR
0.25006,0.34039,0.099874,9.4045e-06,7.1911e-08,0.0030415,0.076702,1.8968e-12,1.8323e-06,228334.2685,473411.017,CR
0.33623,0.37781,0.15509,6.1619e-06,6.8278e-08,0.003216,0.078605,1.0566e-12,1.7671e-06,762676.4023,1822331.9074,CR
0.34851,0.35655,0.15987,7.5948e-06,6.5457e-08,0.0055995,0.089722,1.1721e-12,2.03e-06,0.020448,-1.7791e-13,NR
0.2411,0.329,0.10179,5.4169e-06,6.3056e-08,0.0051096,0.087848,8.8303e-13,2.2661e-06,40252.9836,184327.4237,CR
0.4112,0.56438,0.19855,3.831e-06,5.7527e-08,0.0020112,0.089939,2.0313e-12,1.5865e-06,8.6814e-10,-1.6793e-15,NR
0.19,0.24411,0.065162,7.3934e-06,4.4466e-08,0.0067458,0.087462,1.3389e-12,1.5782e-06,3842.4276,56151.9951,CR
0.16183,0.25325,0.22514,9.4653e-06,6.1454e-08,0.002155,0.087141,1.2052e-12,2.2433e-06,941545.0096,1604791.4669,CR
0.10654,0.23795,0.1553,3.2428e-06,6.8416e-08,0.0045771,0.090167,6.1319e-13,2.7045e-06,119455.3982,251771.3058,CR
0.27673,0.36462,0.14379,3.4316e-06,6.0138e-08,0.0026668,0.078708,1.2541e-12,1.5591e-06,327815.3691,758942.6799,CR
0.34036,0.42935,0.12966,5.2036e-06,5.9195e-08,0.0029263,0.083025,6.4767e-13,1.8978e-06,339915.5819,670871.3432,CR
0.13769,0.26516,0.20947,4.5293e-06,7.1614e-08,0.0035549,0.080127,1.222e-12,1.889e-06,426342.1309,777149.9145,CR
0.31009,0.45808,0.171,4.4295e-06,6.2058e-08,0.0068266,0.089718,1.802e-12,1.7328e-06,3.4406e-10,7.7661e-16,NR
